feedback_id,booking_id,customer_id,feedback_date,overall_satisfaction,seat_comfort,cabin_crew_service,food_quality,in_flight_entertainment,punctuality_score,nps_score,would_recommend
FB00000073,BK00000074,CUST000005,2022-12-07,4.2,3.2,3.6,3.0,3.5,3.3,6,0
FB00000080,BK00000081,CUST000006,2022-12-19,2.1,3.3,3.5,3.3,3.0,5,7,0
FB00000083,BK00000084,CUST000006,2022-12-14,4.1,2.9,2.2,3.9,3.0,4.0,6,0
FB00000084,BK00000085,CUST000006,2024-03-18,3.9,3.6,3.3,2.4,2.4,4.4,8,0
FB00000095,BK00000096,CUST000007,2023-07-02,3.5,3.2,2.4,3.2,2.8,4.2,5,0
FB00000101,BK00000102,CUST000008,2024-07-13,3.4,3.6,3.8,3.0,4.0,4.7,8,0
FB00000102,BK00000103,CUST000008,2022-05-18,3.8,3.4,3.1,3.1,3.1,2.1,5,1
FB00000104,BK00000105,CUST000008,2023-08-18,3.9,4.7,4.1,4.4,4.4,4.6,8,1
FB00000106,BK00000107,CUST000008,2022-10-05,2.3,3.4,3.0,3.2,3.1,2.4,7,0
FB00000109,BK00000110,CUST000008,2022-02-19,5,3.5,4.2,3.8,3.4,4.5,7,1
FB00000111,BK00000112,CUST000008,2024-03-11,3.9,2.8,3.4,3.2,3.2,4.5,5,0
FB00000115,BK00000116,CUST000008,2023-05-02,4.3,4.8,5,3.8,4.5,4.5,9,1
FB00000116,BK00000117,CUST000008,2024-02-19,4.1,4.6,4.7,4.0,3.4,2.1,7,1
FB00000118,BK00000119,CUST000008,2022-06-04,3.1,3.0,3.1,2.7,4.9,4.8,7,0
FB00000126,BK00000127,CUST000009,2022-12-25,4.6,4.4,5,4.0,4.2,4.3,8,1
FB00000132,BK00000133,CUST000009,2023-05-13,2.6,3.1,3.0,3.2,3.2,4.2,8,0
FB00000133,BK00000134,CUST000009,2024-10-17,4.0,3.1,3.4,3.4,2.6,2.8,5,0
FB00000134,BK00000135,CUST000009,2024-04-05,4.6,4.5,3.8,4.8,3.7,4.8,9,1
FB00000143,BK00000144,CUST000009,2022-03-09,4.0,3.5,3.1,2.9,2.7,2.5,5,0
FB00000149,BK00000150,CUST000010,2023-10-09,2.9,2.7,3.0,2.5,2.8,4.5,5,0
FB00000154,BK00000155,CUST000010,2022-03-11,3.6,3.7,3.6,3.4,4.1,4.9,6,1
FB00000155,BK00000156,CUST000011,2024-02-25,3.2,3.3,3.5,3.1,3.8,4.5,7,0
FB00000156,BK00000157,CUST000011,2022-07-15,3.1,2.6,2.1,2.1,1.9,1.9,4,0
FB00000157,BK00000158,CUST000011,2024-03-26,4.5,3.9,3.7,4.1,3.5,4.5,6,1
FB00000162,BK00000163,CUST000012,2023-09-07,3.1,3.0,3.2,3.5,3.2,4.6,3,0
FB00000163,BK00000164,CUST000012,2024-09-16,3.8,2.8,3.9,3.0,2.4,4.8,7,0
FB00000164,BK00000165,CUST000012,2023-08-01,3.5,2.5,3.5,2.9,3.6,4.6,7,0
FB00000174,BK00000175,CUST000013,2024-08-15,4.6,4.2,4.5,4.3,4.6,4.4,7,1
FB00000182,BK00000183,CUST000013,2024-12-14,4.1,4.1,4.0,3.2,2.7,4.8,9,1
FB00000185,BK00000186,CUST000013,2024-04-08,3.5,4.6,4.5,3.8,4.0,4.9,7,1
FB00000190,BK00000191,CUST000013,2023-01-18,4.4,3.7,4.4,3.4,3.4,4.4,8,1
FB00000194,BK00000195,CUST000013,2022-05-23,2.5,2.7,4.5,3.1,3.7,4.9,6,0
FB00000196,BK00000197,CUST000013,2024-11-02,3.7,2.8,3.7,4.1,4.6,4.9,6,1
FB00000201,BK00000202,CUST000013,2022-05-26,2.9,3.0,3.5,2.7,3.3,4.2,5,0
FB00000202,BK00000203,CUST000013,2024-09-19,4.4,4.2,3.7,4.1,4.6,4.2,8,1
FB00000207,BK00000208,CUST000013,2024-10-16,3.7,3.4,4.5,4.2,4.2,2.4,5,1
FB00000210,BK00000211,CUST000014,2023-07-10,3.7,3.0,2.5,3.3,3.0,4.5,6,0
FB00000214,BK00000215,CUST000014,2022-12-19,3.1,2.8,3.3,3.2,3.0,3.6,8,0
FB00000218,BK00000219,CUST000015,2023-09-03,3.5,4.2,2.8,3.8,3.6,4.6,5,0
FB00000220,BK00000221,CUST000015,2022-05-16,4.5,2.5,4.0,4.0,3.3,4.4,6,1
FB00000228,BK00000229,CUST000015,2023-07-21,4.2,3.4,3.5,2.9,2.4,4.5,5,0
FB00000230,BK00000231,CUST000015,2022-01-06,4.5,3.2,4.6,3.9,3.8,4.4,9,1
FB00000233,BK00000234,CUST000015,2022-02-25,2.6,3.5,3.1,3.3,4.1,4.9,6,0
FB00000237,BK00000238,CUST000015,2024-11-10,4.0,4.4,4.2,4.8,4.4,4.7,8,1
FB00000240,BK00000241,CUST000015,2022-07-21,4.2,3.2,2.7,3.2,3.0,2.8,8,1
FB00000244,BK00000245,CUST000015,2022-07-27,4.9,3.5,4.4,4.4,3.9,4.4,9,1
FB00000247,BK00000248,CUST000015,2022-07-29,4.7,4.2,4.6,5,4.3,4.2,7,1
FB00000260,BK00000261,CUST000016,2024-05-19,3.7,3.2,3.7,3.4,2.7,4.6,8,1
FB00000261,BK00000262,CUST000016,2024-05-01,3.2,3.0,4.1,2.7,2.7,4.6,7,0
FB00000262,BK00000263,CUST000016,2024-03-18,4.1,4.9,4.5,3.5,3.9,4.8,7,1
FB00000263,BK00000264,CUST000016,2023-07-05,3.5,3.2,3.9,3.1,2.3,4.5,7,0
FB00000267,BK00000268,CUST000017,2024-02-21,2.8,2.6,3.3,3.0,2.1,4.9,6,0
FB00000268,BK00000269,CUST000017,2023-09-04,3.8,3.8,3.3,3.2,2.5,4.8,6,0
FB00000270,BK00000271,CUST000017,2023-09-08,4.7,3.3,4.0,3.7,3.4,4.3,7,1
FB00000271,BK00000272,CUST000017,2024-09-14,3.5,2.8,3.3,1.9,2.6,4.3,9,0
FB00000272,BK00000273,CUST000018,2023-03-14,3.0,3.4,3.3,2.9,2.2,4.7,7,0
FB00000274,BK00000275,CUST000018,2023-02-27,3.8,2.8,3.9,3.1,3.5,3.9,6,0
FB00000277,BK00000278,CUST000018,2022-05-28,2.1,3.1,3.2,3.3,3.4,4.4,7,0
FB00000284,BK00000285,CUST000019,2023-11-14,2.7,3.4,3.2,2.5,3.0,2.6,6,0
FB00000287,BK00000288,CUST000019,2022-07-08,4.5,5,4.7,3.7,4.0,4.8,8,1
FB00000306,BK00000307,CUST000020,2024-03-31,4.1,4.1,5,3.8,3.7,4.7,9,1
FB00000308,BK00000309,CUST000020,2022-05-29,3.4,3.5,3.9,3.7,3.3,4.3,6,0
FB00000310,BK00000311,CUST000020,2022-07-24,3.7,3.0,3.1,2.9,1.7,3.3,6,0
FB00000312,BK00000313,CUST000020,2024-12-02,3.3,3.5,1.9,2.5,2.9,2.5,7,0
FB00000316,BK00000317,CUST000020,2024-04-21,4.4,5,5,4.2,4.5,4.6,8,1
FB00000318,BK00000319,CUST000020,2023-07-20,4.9,5,4.9,4.4,3.6,4.6,9,1
FB00000328,BK00000329,CUST000020,2022-12-04,4.6,4.5,5,4.9,4.1,4.4,9,1
FB00000332,BK00000333,CUST000021,2023-04-03,2.5,2.8,3.0,3.3,3.3,4.5,6,0
FB00000337,BK00000338,CUST000021,2023-07-14,3.3,2.6,3.3,2.9,3.0,4.1,6,0
FB00000341,BK00000342,CUST000021,2023-09-23,3.2,3.0,3.8,3.3,2.3,5,6,0
FB00000342,BK00000343,CUST000021,2022-02-28,3.3,3.2,3.0,3.3,3.4,4.7,5,0
FB00000343,BK00000344,CUST000022,2022-10-23,3.1,3.1,3.3,3.3,3.6,5,5,0
FB00000344,BK00000345,CUST000022,2022-10-13,2.6,2.8,3.1,3.4,2.5,4.2,6,0
FB00000347,BK00000348,CUST000023,2023-12-28,3.1,3.1,3.2,2.6,3.2,2.4,5,0
FB00000349,BK00000350,CUST000023,2024-09-24,3.0,2.0,3.0,2.9,1.8,1.9,3,0
FB00000355,BK00000356,CUST000023,2024-05-06,4.2,3.3,4.1,3.8,4.2,4.4,7,1
FB00000365,BK00000366,CUST000023,2023-10-06,3.7,4.4,5,3.7,2.9,4.4,7,1
FB00000366,BK00000367,CUST000023,2023-08-13,2.6,3.2,4.5,3.4,2.7,4.2,6,0
FB00000367,BK00000368,CUST000023,2024-02-24,3.3,3.9,4.1,5,4.2,3.8,7,1
FB00000381,BK00000382,CUST000026,2022-05-06,4.9,4.1,4.4,4.2,4.4,4.6,10,1
FB00000386,BK00000387,CUST000026,2024-08-20,3.6,4.7,4.2,3.8,3.4,4.6,8,1
FB00000390,BK00000391,CUST000026,2023-07-03,3.5,4.4,4.2,4.6,4.3,4.4,7,1
FB00000392,BK00000393,CUST000026,2022-05-06,5,4.6,4.5,4.6,4.2,4.9,8,1
FB00000393,BK00000394,CUST000026,2023-01-26,3.2,4.2,4.5,4.4,3.5,4.2,9,1
FB00000398,BK00000399,CUST000026,2022-08-10,5,3.7,4.7,4.8,4.2,4.4,9,1
FB00000403,BK00000404,CUST000026,2022-10-03,3.2,4.7,4.2,4.5,4.2,4.2,10,1
FB00000405,BK00000406,CUST000026,2024-08-24,4.7,3.6,4.1,4.3,4.4,4.3,10,1
FB00000407,BK00000408,CUST000026,2024-11-27,3.7,2.8,3.8,3.6,4.1,2.5,8,1
FB00000412,BK00000413,CUST000026,2024-12-03,4.5,4.3,4.9,4.6,3.4,4.0,7,1
FB00000413,BK00000414,CUST000026,2023-07-25,4.7,5,5,5,4.1,4.6,10,1
FB00000420,BK00000421,CUST000026,2023-03-20,4.2,3.4,4.8,4.8,4.4,4.1,10,1
FB00000423,BK00000424,CUST000026,2022-01-02,4.1,3.2,5,4.4,4.1,4.5,10,1
FB00000424,BK00000425,CUST000026,2022-11-08,4.1,4.5,3.7,4.1,3.5,4.4,8,1
FB00000427,BK00000428,CUST000026,2024-06-22,4.9,5,3.8,4.4,3.7,2.3,7,1
FB00000446,BK00000447,CUST000027,2023-05-05,2.9,2.9,3.2,2.9,2.6,4.3,6,0
FB00000448,BK00000449,CUST000027,2023-08-23,3.7,3.9,3.2,2.9,2.3,4.6,5,0
FB00000449,BK00000450,CUST000027,2023-10-26,3.1,3.6,3.3,3.6,3.4,4.1,8,1
FB00000452,BK00000453,CUST000027,2022-07-27,3.4,2.4,2.7,2.9,2.0,2.7,4,0
FB00000454,BK00000455,CUST000027,2022-06-01,4.4,4.0,3.7,3.3,3.5,2.8,7,1
FB00000457,BK00000458,CUST000027,2024-03-31,4.4,4.3,4.2,4.2,3.8,4.7,7,1
FB00000460,BK00000461,CUST000028,2022-11-18,2.5,2.5,3.1,2.9,3.3,4.5,5,0
FB00000464,BK00000465,CUST000029,2024-06-24,4.5,4.4,5,3.7,4.5,4.8,8,1
FB00000466,BK00000467,CUST000029,2023-09-27,4.2,4.1,3.1,3.9,3.7,4.1,7,1
FB00000467,BK00000468,CUST000029,2023-02-26,4.3,4.3,3.9,4.1,2.9,4.6,8,1
FB00000468,BK00000469,CUST000029,2024-10-31,4.1,3.7,4.0,4.1,4.0,2.5,7,1
FB00000474,BK00000475,CUST000029,2024-01-18,3.6,3.0,4.4,3.4,3.8,2.0,5,1
FB00000478,BK00000479,CUST000029,2024-06-21,3.2,3.8,2.5,2.2,3.2,4.6,7,0
FB00000479,BK00000480,CUST000029,2023-08-10,4.0,4.7,3.6,4.5,4.3,4.1,6,1
FB00000486,BK00000487,CUST000029,2022-07-12,2.0,3.3,3.0,2.9,2.2,2.4,7,0
FB00000489,BK00000490,CUST000029,2024-04-18,4.3,3.4,4.4,3.6,2.9,1.9,10,1
FB00000492,BK00000493,CUST000029,2023-03-09,4.6,3.1,4.8,4.3,3.0,2.6,7,1
FB00000497,BK00000498,CUST000029,2023-07-25,2.4,2.6,2.8,2.4,3.3,2.6,6,0
FB00000499,BK00000500,CUST000029,2023-01-03,5,5,5,4.0,4.3,4.7,9,1
FB00000500,BK00000501,CUST000029,2023-06-19,4.4,4.3,4.8,3.8,5,4.7,9,1
FB00000502,BK00000503,CUST000029,2024-05-27,4.8,3.0,4.3,4.0,4.1,4.6,9,1
FB00000504,BK00000505,CUST000029,2022-05-17,4.9,3.2,4.0,4.5,4.8,4.6,8,1
FB00000506,BK00000507,CUST000029,2024-12-11,3.9,3.1,3.0,2.8,2.9,2.8,5,0
FB00000509,BK00000510,CUST000029,2024-11-20,5,3.7,5,4.1,3.9,4.6,10,1
FB00000511,BK00000512,CUST000029,2022-07-11,4.7,5,5,5,4.6,4.7,10,1
FB00000513,BK00000514,CUST000029,2024-02-21,5,4.9,5,4.6,4.3,4.5,9,1
FB00000515,BK00000516,CUST000029,2023-09-18,4.6,3.4,4.0,4.7,3.4,4.1,7,1
FB00000520,BK00000521,CUST000029,2024-09-09,2.8,3.6,3.7,3.9,3.0,2.0,8,1
FB00000522,BK00000523,CUST000029,2022-10-07,4.1,4.1,4.5,5,4.2,5,6,1
FB00000523,BK00000524,CUST000029,2024-06-07,3.7,4.0,3.4,2.6,3.3,2.7,8,1
FB00000524,BK00000525,CUST000029,2024-06-06,4.8,3.8,5,4.0,4.0,4.5,9,1
FB00000528,BK00000529,CUST000030,2023-11-18,4.1,2.9,2.9,3.1,4.2,4.5,4,1
FB00000529,BK00000530,CUST000030,2024-06-09,3.7,3.4,2.9,3.4,4.1,4.6,6,1
FB00000532,BK00000533,CUST000030,2023-02-06,2.7,2.0,4.0,2.3,3.2,5,5,0
FB00000534,BK00000535,CUST000030,2024-09-29,3.5,2.3,3.4,3.5,3.2,4.6,4,0
FB00000535,BK00000536,CUST000030,2023-03-18,3.4,2.7,3.6,2.9,3.0,4.5,5,0
FB00000543,BK00000544,CUST000031,2022-04-06,4.8,3.5,3.5,3.3,3.6,4.3,5,1
FB00000550,BK00000551,CUST000031,2022-02-02,3.4,2.9,3.1,3.0,2.7,4.5,5,0
FB00000552,BK00000553,CUST000031,2024-09-12,2.5,2.2,3.1,3.0,3.0,4.3,8,0
FB00000554,BK00000555,CUST000031,2023-06-19,2.1,2.5,3.4,2.1,3.4,2.4,6,0
FB00000555,BK00000556,CUST000031,2023-04-08,3.0,3.9,2.7,2.4,2.5,4.7,7,0
FB00000559,BK00000560,CUST000032,2022-06-05,3.4,4.0,3.4,2.4,3.0,4.4,6,0
FB00000562,BK00000563,CUST000032,2022-12-21,2.3,3.4,3.1,2.8,3.2,4.5,6,0
FB00000566,BK00000567,CUST000032,2023-09-13,3.8,3.1,3.6,3.7,3.8,3.8,5,0
FB00000567,BK00000568,CUST000032,2023-01-12,3.0,3.1,3.2,2.5,3.3,4.6,5,0
FB00000570,BK00000571,CUST000032,2022-09-10,3.7,2.6,3.1,2.8,3.6,4.9,6,0
FB00000574,BK00000575,CUST000033,2024-10-07,2.6,3.7,3.7,3.2,2.1,4.5,7,0
FB00000575,BK00000576,CUST000033,2022-04-02,2.9,3.8,3.6,3.6,2.9,5,7,0
FB00000578,BK00000579,CUST000033,2024-10-31,4.0,3.5,4.3,5,3.8,4.6,7,1
FB00000579,BK00000580,CUST000033,2022-10-03,3.2,3.9,2.9,2.2,3.3,4.1,7,0
FB00000580,BK00000581,CUST000033,2023-05-02,4.1,2.8,3.9,3.0,4.0,4.6,7,1
FB00000582,BK00000583,CUST000033,2023-03-15,3.4,3.9,3.2,3.2,3.5,4.1,6,0
FB00000585,BK00000586,CUST000033,2023-03-29,3.5,3.0,3.8,2.3,3.2,4.5,7,0
FB00000586,BK00000587,CUST000033,2024-04-27,4.0,3.4,3.7,4.0,3.7,4.7,8,1
FB00000588,BK00000589,CUST000033,2024-06-13,4.2,4.0,3.4,3.5,3.1,4.0,7,0
FB00000589,BK00000590,CUST000034,2024-03-28,3.1,2.9,3.1,2.3,2.1,4.3,5,0
FB00000592,BK00000593,CUST000035,2022-11-17,3.1,3.4,3.1,2.6,2.9,4.7,6,0
FB00000593,BK00000594,CUST000035,2023-07-04,3.2,2.3,2.7,1.9,3.0,4.4,6,0
FB00000594,BK00000595,CUST000035,2024-12-20,3.4,3.8,5,3.6,3.4,4.6,9,1
FB00000595,BK00000596,CUST000035,2022-05-05,2.4,2.3,3.9,3.3,2.0,2.9,5,0
FB00000599,BK00000600,CUST000036,2024-12-15,4.8,5,4.6,4.1,3.4,4.8,10,1
FB00000604,BK00000605,CUST000036,2024-07-18,4.6,4.8,4.3,3.8,3.5,4.0,8,1
FB00000606,BK00000607,CUST000036,2022-07-24,3.6,4.0,4.1,4.2,3.8,5,10,1
FB00000609,BK00000610,CUST000036,2023-09-13,4.7,4.4,4.8,4.6,4.7,4.8,10,1
FB00000612,BK00000613,CUST000036,2022-04-15,5,5,4.7,4.9,4.8,4.5,9,1
FB00000613,BK00000614,CUST000036,2022-05-27,4.2,4.1,3.3,3.8,2.9,2.8,7,1
FB00000616,BK00000617,CUST000036,2023-12-06,4.9,4.3,4.8,4.4,3.4,4.3,9,1
FB00000618,BK00000619,CUST000036,2022-01-04,2.9,4.2,3.9,3.4,3.2,4.4,7,1
FB00000620,BK00000621,CUST000036,2022-03-27,5,4.2,4.0,4.5,4.7,4.6,7,1
FB00000622,BK00000623,CUST000036,2024-07-31,2.9,4.2,4.5,4.0,3.6,4.5,8,1
FB00000623,BK00000624,CUST000036,2022-07-20,4.6,2.8,4.1,3.0,4.2,4.7,7,1
FB00000627,BK00000628,CUST000036,2023-04-10,3.8,4.3,4.3,4.1,3.3,4.1,6,1
FB00000631,BK00000632,CUST000036,2022-08-01,4.5,4.9,4.0,4.4,4.2,4.4,9,1
FB00000632,BK00000633,CUST000036,2022-11-22,3.5,3.4,3.8,3.5,2.1,4.6,6,1
FB00000640,BK00000641,CUST000037,2024-02-04,3.0,2.4,2.6,2.2,2.1,1.9,7,0
FB00000642,BK00000643,CUST000037,2023-09-02,3.5,3.6,3.8,2.8,2.5,4.8,6,0
FB00000654,BK00000655,CUST000038,2023-10-19,4.3,2.4,3.7,4.7,3.0,4.4,5,0
FB00000656,BK00000657,CUST000038,2023-04-23,3.7,3.0,3.3,2.5,3.1,4.2,7,0
FB00000657,BK00000658,CUST000039,2024-10-20,4.5,4.2,4.9,4.3,4.9,4.5,8,1
FB00000660,BK00000661,CUST000039,2024-07-09,4.5,4.8,5,5,4.1,4.5,9,1
FB00000661,BK00000662,CUST000039,2023-03-07,4.5,4.6,4.3,3.8,4.3,4.5,7,1
FB00000664,BK00000665,CUST000039,2024-06-18,3.3,4.0,3.7,3.6,3.2,4.2,7,0
FB00000665,BK00000666,CUST000039,2023-01-12,5,4.6,4.5,5,4.9,4.4,9,1
FB00000668,BK00000669,CUST000039,2024-02-13,5,4.0,3.3,3.9,4.2,4.7,8,1
FB00000669,BK00000670,CUST000039,2024-03-13,4.7,3.7,4.6,4.0,4.7,4.3,8,1
FB00000678,BK00000679,CUST000039,2024-09-25,2.3,2.6,3.5,3.1,3.6,2.0,7,0
FB00000681,BK00000682,CUST000039,2024-07-05,5,5,5,4.5,4.6,4.5,9,1
FB00000686,BK00000687,CUST000039,2023-04-10,3.3,4.0,4.0,4.6,4.1,4.5,7,1
FB00000693,BK00000694,CUST000039,2024-11-27,3.7,5,4.1,4.1,4.3,4.7,8,1
FB00000698,BK00000699,CUST000039,2022-05-15,4.5,4.9,5,3.7,3.9,4.5,8,1
FB00000700,BK00000701,CUST000039,2023-10-24,3.7,4.5,4.3,4.1,5,4.4,6,1
FB00000701,BK00000702,CUST000039,2022-02-10,4.0,4.2,4.4,4.4,3.9,2.5,7,1
FB00000703,BK00000704,CUST000039,2023-10-01,4.5,3.4,3.3,4.1,3.8,2.6,7,1
FB00000705,BK00000706,CUST000039,2023-04-06,4.4,4.7,4.8,4.3,4.1,4.6,7,1
FB00000707,BK00000708,CUST000039,2023-03-30,3.4,3.7,4.3,3.5,4.9,4.4,7,1
FB00000711,BK00000712,CUST000039,2022-04-18,5,4.0,5,4.3,4.2,4.5,8,1
FB00000712,BK00000713,CUST000039,2022-11-17,4.6,3.3,5,4.0,4.1,2.4,9,1
FB00000713,BK00000714,CUST000039,2022-07-06,4.0,4.7,4.7,4.0,4.7,4.4,9,1
FB00000714,BK00000715,CUST000039,2023-06-05,4.0,4.2,5,4.2,4.7,4.0,10,1
FB00000715,BK00000716,CUST000039,2024-03-14,3.2,2.9,3.8,2.8,2.9,2.4,6,0
FB00000719,BK00000720,CUST000039,2022-03-19,3.5,3.6,4.1,4.2,4.1,2.5,10,1
FB00000724,BK00000725,CUST000040,2023-08-18,2.7,2.9,3.4,3.0,3.2,4.5,7,0
FB00000725,BK00000726,CUST000040,2023-03-31,3.4,3.0,2.2,2.5,2.8,2.6,6,0
FB00000728,BK00000729,CUST000040,2023-12-27,2.9,3.6,4.5,2.7,2.9,4.3,7,1
FB00000729,BK00000730,CUST000040,2024-06-17,3.8,3.8,3.7,3.3,3.2,4.4,6,0
FB00000730,BK00000731,CUST000040,2023-03-15,2.9,3.9,3.2,4.1,3.3,4.2,8,1
FB00000731,BK00000732,CUST000040,2022-08-10,3.4,3.4,3.5,4.0,3.7,2.5,6,1
FB00000734,BK00000735,CUST000040,2024-09-06,3.8,3.3,3.2,3.2,3.4,4.5,6,0
FB00000735,BK00000736,CUST000040,2022-05-02,2.9,2.8,3.5,2.9,3.5,4.5,6,0
FB00000742,BK00000743,CUST000041,2023-10-24,3.4,2.6,3.6,3.6,3.5,4.5,6,1
FB00000747,BK00000748,CUST000041,2023-09-15,2.8,2.1,3.4,2.7,1.7,2.2,6,0
FB00000754,BK00000755,CUST000042,2024-04-08,4.7,3.8,3.7,3.8,4.0,4.4,8,1
FB00000756,BK00000757,CUST000042,2023-11-12,2.9,2.9,2.6,3.8,2.3,4.2,8,0
FB00000757,BK00000758,CUST000042,2024-12-03,3.6,3.0,3.3,2.5,3.3,4.1,5,0
FB00000758,BK00000759,CUST000042,2024-11-24,3.8,1.7,4.9,3.2,3.6,3.2,6,1
FB00000768,BK00000769,CUST000043,2024-09-13,4.4,3.6,3.4,4.5,4.6,4.9,7,1
FB00000769,BK00000770,CUST000043,2024-08-05,3.3,3.5,3.5,3.6,4.0,4.2,6,1
FB00000777,BK00000778,CUST000043,2023-02-07,2.9,2.8,3.4,2.8,3.0,4.6,6,0
FB00000778,BK00000779,CUST000044,2024-01-14,2.7,2.7,3.1,2.5,2.5,2.9,3,0
FB00000790,BK00000791,CUST000044,2024-08-17,4.1,3.4,4.2,3.2,3.5,5,7,1
FB00000794,BK00000795,CUST000044,2023-05-26,3.5,3.2,4.3,2.2,3.8,4.2,5,0
FB00000798,BK00000799,CUST000044,2023-03-05,3.5,3.0,4.1,3.2,3.9,4.5,5,0
FB00000800,BK00000801,CUST000044,2022-01-27,4.1,3.5,3.9,4.4,3.5,2.4,8,1
FB00000809,BK00000810,CUST000045,2023-09-19,3.5,2.2,2.2,2.6,2.9,2.8,4,0
FB00000810,BK00000811,CUST000045,2023-11-07,3.1,2.3,1.8,3.0,2.5,3.2,5,0
FB00000813,BK00000814,CUST000045,2022-09-26,4.3,4.1,3.8,3.8,3.6,5,8,1
FB00000815,BK00000816,CUST000045,2023-01-21,2.9,3.5,3.9,3.7,2.7,4.6,7,1
FB00000818,BK00000819,CUST000045,2024-02-09,2.5,3.1,3.2,3.6,2.7,4.8,7,0
FB00000819,BK00000820,CUST000045,2024-11-23,2.1,3.6,3.6,3.7,2.6,4.5,8,0
FB00000822,BK00000823,CUST000045,2024-11-14,3.8,3.3,3.5,2.4,3.0,4.3,5,0
FB00000824,BK00000825,CUST000046,2023-07-21,4.1,4.3,5,4.1,4.6,4.9,9,1
FB00000825,BK00000826,CUST000046,2022-12-15,4.8,4.5,4.2,4.8,4.0,4.3,8,1
FB00000827,BK00000828,CUST000046,2022-04-21,3.9,3.6,4.8,3.3,3.6,4.6,8,1
FB00000828,BK00000829,CUST000046,2024-10-14,4.9,4.9,5,3.6,5,4.0,10,1
FB00000829,BK00000830,CUST000046,2024-09-28,4.1,3.9,3.8,3.0,3.2,4.0,9,1
FB00000831,BK00000832,CUST000046,2024-10-23,2.8,3.0,3.2,3.6,1.9,4.8,6,0
FB00000833,BK00000834,CUST000046,2023-10-05,4.1,3.7,3.1,3.4,3.9,4.0,6,0
FB00000836,BK00000837,CUST000046,2024-08-20,3.8,3.3,3.1,2.2,4.1,4.0,6,0
FB00000837,BK00000838,CUST000046,2022-01-30,3.7,3.7,3.5,3.4,3.0,4.3,7,1
FB00000841,BK00000842,CUST000046,2022-03-14,5,4.0,4.4,4.8,4.2,4.7,8,1
FB00000843,BK00000844,CUST000046,2024-07-26,3.0,3.4,3.7,2.3,3.2,2.2,7,1
