booking_id,customer_id,booking_date,flight_date,origin_airport,destination_airport,airline,cabin_class,base_fare_inr,ancillary_spend_inr,total_spend_inr,miles_earned,travel_purpose,booking_lead_days,flight_on_time
BK00000019,CUST000003,2022-09-04,2022-11-15,MAA,SIN,SingaporeAir,Business,168906.98,1290.33,170197.31,16940,Leisure,72,1
BK00000020,CUST000003,2024-05-19,2024-08-13,LHR,DXB,IndiGo,Premium Economy,35377.02,639.34,36016.35999999999,3121,Business,86,1
BK00000021,CUST000003,2022-07-29,2022-09-02,DXB,DEL,Emirates,Economy,22269.08,2896.86,25165.940000000002,2176,Family Visit,35,1
BK00000022,CUST000003,2022-01-01,2022-04-26,LHR,BOM,Lufthansa,First,231735.09,955.57,232690.66,24937,Leisure,120,1
BK00000023,CUST000003,2022-10-14,2022-11-13,DEL,BOM,Emirates,Business,184889.41,16309.43,201198.84,22096,Leisure,30,1
BK00000024,CUST000003,2024-07-09,2024-09-20,HYD,DXB,IndiGo,Economy,31714.28,2662.37,34376.65,2671,Medical,73,1
BK00000025,CUST000003,2023-12-18,2024-01-21,SIN,MAA,IndiGo,First,209443.35,5331.9,214775.25,18907,Medical,34,1
BK00000026,CUST000003,2023-12-14,2024-03-20,BLR,DEL,Etihad,Business,123837.88,706.83,124544.71,14827,Business,97,1
BK00000027,CUST000003,2024-01-28,2024-07-22,SIN,BLR,Lufthansa,Premium Economy,50557.34,3355.62,53912.96,5425,Leisure,176,0
BK00000028,CUST000003,2024-01-16,2024-01-17,BOM,DEL,AirIndia,Economy,11116.88,677.97,11794.849999999999,1021,Leisure,1,1
BK00000029,CUST000003,2022-01-01,2022-01-20,DXB,BOM,Etihad,Economy,33407.46,4075.89,37483.35,3371,Leisure,40,1
BK00000030,CUST000003,2023-03-04,2023-03-10,DEL,SIN,IndiGo,Business,147235.91,6372.92,153608.83000000002,16815,Business,6,0
BK00000031,CUST000003,2022-07-21,2022-08-08,DEL,NRT,Vistara,Business,176755.93,8388.65,185144.58,15756,Leisure,18,1
BK00000032,CUST000003,2023-10-25,2024-01-17,SIN,NRT,Lufthansa,Business,125534.98,14954.75,140489.72999999998,11203,Medical,84,1
BK00000033,CUST000003,2022-05-27,2022-07-05,JFK,DEL,Etihad,Economy,11199.27,1278.49,12477.76,1304,Business,39,1
BK00000034,CUST000003,2024-04-30,2024-05-19,SIN,DEL,Lufthansa,Economy,17097.92,1909.31,19007.23,1993,Leisure,19,1
BK00000035,CUST000003,2024-08-01,2024-10-06,HYD,DXB,Vistara,Economy,23991.43,2753.29,26744.72,2396,Leisure,66,0
BK00000036,CUST000003,2022-01-01,2022-04-04,JFK,LHR,SingaporeAir,Economy,18350.51,422.54,18773.05,2045,Business,94,1
BK00000037,CUST000003,2024-01-18,2024-05-15,CDG,DEL,Lufthansa,Economy,9745.76,148.74,9894.5,959,Leisure,118,0
BK00000038,CUST000003,2024-02-01,2024-02-26,BLR,SIN,IndiGo,Premium Economy,74796.32,8444.19,83240.51000000001,7423,Family Visit,25,1
BK00000039,CUST000003,2023-06-30,2023-09-21,BOM,LHR,Etihad,Business,186083.41,8276.25,194359.66,15429,Leisure,83,1
BK00000040,CUST000003,2022-09-13,2023-01-06,BKK,CCU,IndiGo,Business,116541.35,13470.63,130011.98000000001,11161,Business,115,1
BK00000041,CUST000003,2024-10-02,2024-11-23,BLR,DXB,SingaporeAir,Premium Economy,52144.43,1064.58,53209.01,5100,Medical,52,0
BK00000042,CUST000003,2022-01-01,2022-05-19,BOM,DXB,Vistara,Economy,22809.23,3150.57,25959.8,2258,Business,154,0
BK00000043,CUST000003,2024-08-09,2024-12-19,DEL,NRT,Vistara,Business,150922.68,9201.08,160123.75999999998,16129,Leisure,132,1
BK00000044,CUST000003,2024-09-10,2024-12-07,CCU,BKK,AirIndia,Economy,9553.43,479.5,10032.93,905,Leisure,88,1
BK00000045,CUST000003,2024-08-17,2024-12-10,LHR,JFK,Etihad,Premium Economy,58108.42,6469.24,64577.659999999996,6873,Leisure,115,1
BK00000046,CUST000003,2023-02-14,2023-06-12,DXB,DEL,Lufthansa,Business,167233.33,10322.32,177555.65,13765,Business,118,1
BK00000047,CUST000003,2023-09-21,2023-11-26,SIN,MAA,Lufthansa,Premium Economy,38078.98,4023.79,42102.770000000004,3088,Family Visit,66,0
BK00000048,CUST000003,2022-11-23,2023-01-06,JFK,BOM,IndiGo,Premium Economy,68491.73,4679.1,73170.83,6044,Leisure,44,1
BK00000049,CUST000003,2022-09-29,2022-10-29,JFK,BOM,Lufthansa,Business,179489.58,22350.01,201839.59,19034,Business,30,1
BK00000050,CUST000003,2022-03-19,2022-08-07,NRT,DEL,Etihad,Business,94701.83,12543.84,107245.67,8985,Leisure,141,1
BK00000051,CUST000003,2023-03-08,2023-04-22,LHR,DEL,Etihad,First,450663.71,64581.5,515245.21,36194,Business,45,1
BK00000052,CUST000004,2024-04-07,2024-04-26,SIN,SYD,Emirates,Economy,34915.87,4663.8,39579.670000000006,3050,Leisure,19,0
BK00000053,CUST000004,2022-01-01,2022-02-21,JFK,DEL,IndiGo,Premium Economy,65378.93,9037.9,74416.83,7338,Leisure,114,1
BK00000054,CUST000004,2022-01-17,2022-03-22,HYD,DXB,IndiGo,Business,111400.66,3313.35,114714.01000000001,9735,Family Visit,64,1
BK00000055,CUST000004,2023-09-22,2024-02-11,SYD,SIN,IndiGo,Economy,29825.18,715.4,30540.58,2718,Business,142,0
BK00000056,CUST000004,2022-10-27,2023-04-01,SYD,SIN,SingaporeAir,Economy,33099.96,1291.44,34391.4,2854,Leisure,156,1
BK00000057,CUST000004,2023-09-12,2023-10-28,DEL,SIN,Emirates,Economy,24327.2,464.24,24791.440000000002,2628,Education,46,1
BK00000058,CUST000004,2022-03-11,2022-06-28,DEL,BLR,Lufthansa,Economy,18465.65,964.08,19429.730000000003,1512,Education,109,0
BK00000059,CUST000004,2024-04-09,2024-05-31,NRT,DEL,Vistara,Economy,30249.7,2058.27,32307.97,2621,Business,52,1
BK00000060,CUST000004,2023-06-27,2023-06-27,LHR,JFK,Vistara,Economy,8631.66,935.83,9567.49,865,Business,0,1
BK00000061,CUST000004,2024-05-20,2024-10-11,MAA,SIN,AirIndia,Premium Economy,35868.02,239.93,36107.95,2884,Family Visit,144,1
BK00000062,CUST000004,2022-10-19,2022-12-18,JFK,LHR,Etihad,Economy,10099.37,562.64,10662.01,1141,Leisure,60,1
BK00000063,CUST000005,2022-01-09,2022-03-12,SYD,SIN,IndiGo,Business,118561.99,3422.21,121984.20000000001,10463,Leisure,62,1
BK00000064,CUST000005,2022-01-27,2022-03-25,DEL,BOM,SingaporeAir,Business,175670.08,9065.96,184736.03999999998,20893,Leisure,57,1
BK00000065,CUST000005,2023-03-14,2023-08-04,HYD,DXB,Etihad,Premium Economy,36335.61,4661.77,40997.380000000005,3751,Family Visit,143,1
BK00000066,CUST000005,2022-10-03,2023-03-03,JFK,LHR,IndiGo,Premium Economy,42709.92,1039.14,43749.06,4868,Leisure,151,1
BK00000067,CUST000005,2022-01-01,2022-01-15,NRT,SIN,Etihad,Economy,27991.31,4197.95,32189.260000000002,2497,Leisure,68,1
BK00000068,CUST000005,2022-02-02,2022-07-05,DEL,BLR,Lufthansa,Economy,29062.05,3275.4,32337.45,2781,Medical,153,1
BK00000069,CUST000005,2022-03-17,2022-04-26,SIN,DEL,Vistara,Business,125186.06,1413.11,126599.17,12317,Business,40,0
BK00000070,CUST000005,2022-01-06,2022-01-31,BKK,CCU,Lufthansa,Premium Economy,45728.07,637.27,46365.34,4029,Business,25,1
BK00000071,CUST000005,2022-10-28,2023-01-06,BKK,CCU,Emirates,Premium Economy,38994.98,2178.13,41173.11,4246,Leisure,70,1
BK00000072,CUST000005,2022-07-21,2022-11-06,DXB,LHR,Lufthansa,Economy,18343.57,2468.95,20812.52,1571,Leisure,108,0
BK00000073,CUST000005,2023-02-04,2023-04-14,DXB,DEL,IndiGo,Economy,25815.81,3405.21,29221.02,2997,Leisure,69,0
BK00000074,CUST000005,2022-11-02,2022-12-07,SIN,DEL,SingaporeAir,Premium Economy,69402.39,3691.78,73094.17,6434,Leisure,35,0
BK00000075,CUST000005,2022-05-30,2022-08-04,DXB,BLR,IndiGo,Business,139678.09,9252.62,148930.71,16299,Business,66,1
BK00000076,CUST000006,2023-08-18,2024-02-06,BLR,SIN,Etihad,Economy,10522.46,860.62,11383.08,1139,Leisure,172,1
BK00000077,CUST000006,2022-03-04,2022-08-13,SYD,SIN,Emirates,Business,75927.96,8788.59,84716.55,7541,Leisure,162,1
BK00000078,CUST000006,2022-09-06,2023-02-11,BOM,DXB,Etihad,Economy,23900.62,3535.54,27436.16,2323,Leisure,158,1
BK00000079,CUST000006,2022-07-31,2022-12-06,DXB,HYD,SingaporeAir,Economy,15825.58,1028.56,16854.14,1302,Business,128,1
BK00000080,CUST000006,2023-09-06,2024-01-06,DXB,LHR,Etihad,Premium Economy,56659.43,8266.56,64925.99,5259,Business,122,0
BK00000081,CUST000006,2022-07-09,2022-12-19,DEL,DXB,IndiGo,Economy,21020.89,2076.22,23097.11,2336,Leisure,163,1
BK00000082,CUST000006,2023-09-21,2024-02-04,DEL,JFK,AirIndia,Economy,22997.13,595.44,23592.57,2639,Leisure,136,1
BK00000083,CUST000006,2023-10-28,2024-04-10,DEL,BLR,IndiGo,Business,130902.77,10847.99,141750.76,11460,Family Visit,165,0
BK00000084,CUST000006,2022-06-18,2022-12-14,BLR,DEL,Lufthansa,Economy,15761.78,1355.67,17117.45,1635,Family Visit,179,1
BK00000085,CUST000006,2024-03-05,2024-03-18,DEL,BLR,Vistara,Economy,11628.23,695.08,12323.31,1052,Family Visit,13,1
BK00000086,CUST000006,2023-12-29,2024-01-10,NRT,DEL,AirIndia,Economy,30570.75,2966.96,33537.71,2468,Leisure,12,1
BK00000087,CUST000007,2022-10-26,2023-03-26,LHR,BOM,AirIndia,Economy,24718.05,498.57,25216.62,2271,Business,151,1
BK00000088,CUST000007,2022-01-01,2022-01-12,LHR,DEL,Vistara,Economy,22279.67,1541.99,23821.66,2369,Leisure,102,0
BK00000089,CUST000007,2024-05-04,2024-05-06,LHR,DEL,Vistara,Economy,11504.58,485.57,11990.15,1246,Family Visit,2,0
BK00000090,CUST000007,2023-05-10,2023-10-29,LHR,BOM,IndiGo,Economy,19438.8,1296.64,20735.44,1886,Leisure,172,0
BK00000091,CUST000007,2023-01-06,2023-02-10,NRT,DEL,Vistara,Premium Economy,66702.57,2591.15,69293.72,7237,Education,35,1
BK00000092,CUST000007,2022-02-05,2022-07-23,BKK,CCU,Emirates,Business,110963.18,15236.24,126199.42,9749,Leisure,168,1
BK00000093,CUST000007,2024-07-06,2024-12-07,SIN,MAA,Vistara,Economy,32801.83,155.71,32957.54,3750,Leisure,154,1
BK00000094,CUST000007,2022-03-12,2022-04-03,BLR,SIN,AirIndia,Business,134172.68,17275.03,151447.71,11270,Business,22,1
BK00000095,CUST000007,2024-06-18,2024-10-09,LHR,JFK,IndiGo,Economy,16094.05,441.18,16535.23,1855,Leisure,113,1
BK00000096,CUST000007,2023-03-25,2023-07-02,DEL,JFK,Etihad,Economy,15254.04,980.23,16234.27,1424,Leisure,99,1
BK00000097,CUST000008,2022-01-01,2022-01-23,BLR,DEL,Emirates,Economy,22473.79,2512.65,24986.440000000002,2138,Family Visit,143,1
BK00000098,CUST000008,2023-02-28,2023-07-30,CDG,DEL,AirIndia,Business,166742.78,6658.55,173401.33,17693,Education,152,1
BK00000099,CUST000008,2024-08-01,2024-10-22,HYD,DXB,IndiGo,Premium Economy,64676.74,2599.2,67275.94,5410,Family Visit,82,1
BK00000100,CUST000008,2022-01-01,2022-02-02,DEL,LHR,Etihad,Economy,22408.02,880.13,23288.15,2175,Leisure,165,1
BK00000101,CUST000008,2022-04-07,2022-07-12,DXB,BLR,SingaporeAir,Business,188316.16,7398.68,195714.84,16664,Leisure,96,0
BK00000102,CUST000008,2024-04-01,2024-07-13,MAA,SIN,IndiGo,Economy,19180.53,1344.61,20525.14,2055,Leisure,103,1
BK00000103,CUST000008,2022-05-03,2022-05-18,MAA,SIN,AirIndia,Business,85890.99,4802.6,90693.59000000001,8649,Business,15,0
BK00000104,CUST000008,2024-04-10,2024-08-31,DEL,BLR,Etihad,Economy,28980.92,1339.2,30320.12,2366,Business,143,1
BK00000105,CUST000008,2023-06-11,2023-08-18,LHR,BOM,Emirates,Business,128550.58,6507.12,135057.7,10471,Family Visit,68,1
BK00000106,CUST000008,2024-10-09,2024-11-08,LHR,BOM,SingaporeAir,Premium Economy,60784.48,6071.2,66855.68000000001,4916,Business,30,1
BK00000107,CUST000008,2022-05-01,2022-10-05,DEL,BLR,AirIndia,Premium Economy,70514.1,5028.09,75542.19,7261,Leisure,157,0
BK00000108,CUST000008,2024-11-03,2024-11-14,DEL,CDG,Etihad,Business,116137.1,8751.77,124888.87000000001,10821,Business,11,1
BK00000109,CUST000008,2022-10-25,2023-02-25,SYD,SIN,Lufthansa,Premium Economy,67528.26,7053.75,74582.01,7275,Medical,123,1
BK00000110,CUST000008,2022-01-20,2022-02-19,HYD,DXB,IndiGo,Business,181020.07,22912.86,203932.93,19092,Business,30,1
BK00000111,CUST000008,2022-01-08,2022-05-01,BLR,SIN,SingaporeAir,Business,170624.28,19575.1,190199.38,17369,Business,113,0
BK00000112,CUST000008,2023-11-11,2024-03-11,DXB,BOM,AirIndia,Economy,9882.66,1131.08,11013.74,1019,Education,121,1
BK00000113,CUST000008,2022-11-21,2022-12-30,DXB,LHR,Lufthansa,Economy,34870.3,4270.22,39140.520000000004,4087,Business,39,1
BK00000114,CUST000008,2023-08-07,2023-10-24,BOM,DXB,Etihad,Economy,10441.8,1155.18,11596.98,1220,Business,78,1
BK00000115,CUST000008,2022-11-26,2022-12-18,CCU,BKK,IndiGo,Economy,13568.66,1415.46,14984.119999999999,1376,Education,22,1
BK00000116,CUST000008,2023-01-15,2023-05-02,DXB,HYD,Lufthansa,First,380451.22,1100.13,381551.35,34731,Family Visit,107,1
BK00000117,CUST000008,2023-10-07,2024-02-19,JFK,LHR,Lufthansa,Business,177440.75,11689.51,189130.26,14209,Leisure,135,0
BK00000118,CUST000008,2023-01-15,2023-07-11,BOM,LHR,IndiGo,Business,171971.72,16991.38,188963.1,15445,Leisure,177,1
BK00000119,CUST000008,2022-03-27,2022-06-04,DEL,CDG,SingaporeAir,Economy,20729.85,2674.25,23404.1,1663,Business,69,1
BK00000120,CUST000008,2022-06-19,2022-08-22,HYD,DXB,SingaporeAir,Business,182962.18,20819.91,203782.09,21378,Leisure,64,1
BK00000121,CUST000008,2022-09-09,2022-10-18,LHR,DXB,Lufthansa,Economy,33366.02,3877.35,37243.369999999995,2822,Leisure,39,1
BK00000122,CUST000008,2023-08-19,2023-09-04,LHR,DEL,Etihad,Economy,8839.37,834.13,9673.5,718,Business,16,1
BK00000123,CUST000008,2023-11-21,2024-04-03,DEL,BOM,Vistara,Business,126827.39,3307.4,130134.79,14560,Leisure,134,1
BK00000124,CUST000008,2022-01-01,2022-03-03,DXB,DEL,SingaporeAir,Business,157471.39,22816.21,180287.6,18590,Leisure,119,1
BK00000125,CUST000009,2024-03-26,2024-05-08,NRT,SIN,AirIndia,First,405626.89,43761.0,449387.89,46802,Leisure,43,1
BK00000126,CUST000009,2023-11-01,2024-04-11,BKK,CCU,AirIndia,Business,141297.97,17817.79,159115.76,12660,Leisure,162,1
BK00000127,CUST000009,2022-07-12,2022-12-25,NRT,DEL,SingaporeAir,First,279368.78,11286.09,290654.87000000005,25993,Business,166,1
BK00000128,CUST000009,2023-03-20,2023-06-03,HYD,DXB,SingaporeAir,Business,184380.62,24891.11,209271.72999999998,15349,Leisure,75,1
BK00000129,CUST000009,2022-08-24,2022-10-20,DXB,BLR,IndiGo,Business,101868.7,9117.31,110986.01,10535,Education,57,1
BK00000130,CUST000009,2022-12-20,2023-05-25,DXB,DEL,IndiGo,First,370962.86,22539.84,393502.7,41790,Family Visit,156,1
BK00000131,CUST000009,2024-06-28,2024-07-08,DXB,DEL,Vistara,Business,105285.38,5025.98,110311.36,11979,Medical,10,1
BK00000132,CUST000009,2022-10-10,2023-04-01,NRT,DEL,Vistara,Business,162489.04,19868.0,182357.04,18132,Family Visit,173,0
BK00000133,CUST000009,2022-12-19,2023-05-13,CCU,BKK,SingaporeAir,Economy,31683.89,2423.92,34107.81,2720,Leisure,145,1
BK00000134,CUST000009,2024-06-30,2024-10-17,BOM,LHR,IndiGo,Economy,27232.11,1679.32,28911.43,3266,Education,109,0
BK00000135,CUST000009,2023-11-12,2024-04-05,DEL,CDG,Vistara,Business,141117.45,6005.33,147122.78,11705,Leisure,145,1
BK00000136,CUST000009,2022-07-18,2022-12-23,DEL,BOM,Lufthansa,First,255798.58,20122.45,275921.02999999997,22351,Education,158,0
BK00000137,CUST000009,2023-11-22,2024-02-26,NRT,DEL,Vistara,First,484588.32,41373.86,525962.18,46679,Leisure,96,1
BK00000138,CUST000009,2022-07-14,2022-11-13,SIN,SYD,SingaporeAir,Business,193918.65,15944.81,209863.46,17183,Family Visit,122,1
BK00000139,CUST000009,2024-02-27,2024-03-29,SIN,NRT,Vistara,Business,131367.48,3690.59,135058.07,15324,Business,31,1
BK00000140,CUST000009,2024-07-10,2024-12-11,BLR,DEL,IndiGo,First,442243.82,59385.35,501629.17,49763,Leisure,154,1
BK00000141,CUST000009,2022-08-10,2023-01-24,JFK,LHR,AirIndia,First,320735.28,1411.12,322146.4,37164,Leisure,167,1
BK00000142,CUST000009,2024-06-16,2024-08-13,BKK,CCU,SingaporeAir,Business,168374.12,1700.72,170074.84,18806,Family Visit,58,1
BK00000143,CUST000009,2023-03-20,2023-08-06,SYD,SIN,SingaporeAir,Premium Economy,35667.31,2763.79,38431.1,3673,Leisure,139,1
BK00000144,CUST000009,2022-01-01,2022-03-09,SIN,SYD,SingaporeAir,Premium Economy,48089.0,4842.77,52931.770000000004,4418,Family Visit,178,0
BK00000145,CUST000010,2023-07-05,2023-11-06,LHR,JFK,Lufthansa,Economy,9501.5,260.32,9761.82,888,Leisure,124,1
BK00000146,CUST000010,2024-01-08,2024-05-26,LHR,JFK,Lufthansa,Economy,33468.48,2804.82,36273.3,3508,Leisure,139,1
BK00000147,CUST000010,2022-01-01,2022-03-11,SIN,MAA,AirIndia,Economy,8116.47,576.91,8693.380000000001,767,Business,114,1
BK00000148,CUST000010,2023-11-05,2024-04-17,DEL,SIN,SingaporeAir,Economy,16996.55,1224.5,18221.05,1874,Business,164,1
BK00000149,CUST000010,2023-03-03,2023-08-18,DXB,DEL,AirIndia,Economy,16298.55,629.84,16928.39,1767,Leisure,168,1
BK00000150,CUST000010,2023-09-24,2023-10-09,BKK,CCU,Vistara,Economy,21235.18,625.75,21860.93,1842,Business,15,1
BK00000151,CUST000010,2022-01-25,2022-06-26,SIN,SYD,Lufthansa,Economy,9214.69,960.64,10175.33,1044,Family Visit,152,1
BK00000152,CUST000010,2022-12-03,2023-02-11,LHR,DXB,Vistara,Economy,9088.5,406.62,9495.12,793,Leisure,70,1
BK00000153,CUST000010,2023-07-09,2023-08-10,SIN,NRT,Etihad,Economy,21321.32,82.11,21403.43,2345,Business,32,1
BK00000154,CUST000010,2023-09-20,2023-10-08,DEL,JFK,Lufthansa,Premium Economy,62673.13,4422.55,67095.68,5819,Family Visit,18,1
BK00000155,CUST000010,2022-01-01,2022-03-11,SIN,NRT,Lufthansa,Business,86228.55,8990.32,95218.87,10212,Leisure,151,1
BK00000156,CUST000011,2023-10-09,2024-02-25,BOM,DXB,Vistara,Economy,29976.46,2510.58,32487.04,2822,Leisure,139,1
BK00000157,CUST000011,2022-01-26,2022-07-15,HYD,DXB,Lufthansa,Economy,15323.71,1840.61,17164.32,1466,Leisure,170,0
BK00000158,CUST000011,2024-03-23,2024-03-26,DEL,LHR,Etihad,Premium Economy,35107.71,1501.15,36608.86,3634,Medical,3,1
BK00000159,CUST000011,2023-09-08,2023-10-16,DXB,BLR,Lufthansa,Economy,8496.12,970.01,9466.130000000001,885,Family Visit,38,0
BK00000160,CUST000011,2022-01-01,2022-02-19,BOM,DXB,Vistara,Economy,12328.6,1737.91,14066.51,1346,Leisure,139,1
BK00000161,CUST000012,2023-04-19,2023-07-25,DEL,DXB,AirIndia,Economy,8336.08,489.84,8825.92,719,Business,97,1
BK00000162,CUST000012,2024-01-12,2024-06-14,JFK,LHR,IndiGo,Economy,14391.71,1556.1,15947.81,1227,Leisure,154,1
BK00000163,CUST000012,2023-05-01,2023-09-07,BLR,SIN,AirIndia,Economy,21695.18,173.85,21869.03,2402,Business,129,1
BK00000164,CUST000012,2024-03-23,2024-09-16,DEL,LHR,Etihad,Economy,26346.47,464.3,26810.77,2844,Leisure,177,1
BK00000165,CUST000012,2023-03-17,2023-08-01,LHR,BOM,Vistara,Economy,31116.29,677.99,31794.280000000002,2974,Leisure,137,1
BK00000166,CUST000012,2023-11-17,2023-11-25,NRT,SIN,Emirates,Economy,18782.2,525.35,19307.55,1592,Business,8,1
BK00000167,CUST000012,2024-04-18,2024-07-20,BLR,DEL,Vistara,Economy,24216.73,1708.67,25925.4,1944,Business,93,1
BK00000168,CUST000012,2023-07-11,2023-08-30,BOM,JFK,SingaporeAir,Business,82088.14,6548.45,88636.59,9495,Family Visit,50,0
BK00000169,CUST000012,2022-01-07,2022-05-11,DXB,BLR,Etihad,Economy,24674.84,1254.56,25929.4,2214,Leisure,124,1
BK00000170,CUST000013,2022-08-24,2022-09-28,NRT,DEL,AirIndia,Premium Economy,65357.77,3685.46,69043.23,5235,Leisure,35,1
BK00000171,CUST000013,2022-01-19,2022-05-31,NRT,SIN,Emirates,Economy,21126.37,1760.43,22886.8,2069,Leisure,132,1
BK00000172,CUST000013,2023-06-27,2023-11-09,LHR,DEL,SingaporeAir,Economy,18686.86,1216.44,19903.3,1501,Leisure,135,1
BK00000173,CUST000013,2022-05-30,2022-06-29,NRT,DEL,Lufthansa,Economy,22715.5,411.21,23126.71,2598,Business,30,1
BK00000174,CUST000013,2022-01-04,2022-05-01,BOM,LHR,Etihad,Economy,11651.9,1063.2,12715.1,1090,Business,117,1
BK00000175,CUST000013,2024-04-01,2024-08-15,JFK,LHR,Lufthansa,Business,146809.76,18154.05,164963.81,17436,Leisure,136,1
BK00000176,CUST000013,2022-05-02,2022-09-30,CDG,DEL,SingaporeAir,Business,136624.59,6051.29,142675.88,12687,Family Visit,151,1
BK00000177,CUST000013,2022-02-28,2022-03-31,DXB,HYD,AirIndia,Business,150621.86,15668.12,166289.97999999998,17627,Leisure,31,1
BK00000178,CUST000013,2022-06-13,2022-09-05,SIN,NRT,Etihad,Premium Economy,49015.64,1554.0,50569.64,5658,Family Visit,84,1
BK00000179,CUST000013,2023-10-15,2024-04-11,DEL,BLR,Vistara,Business,160728.59,3602.12,164330.71,16029,Business,179,1
BK00000180,CUST000013,2022-01-23,2022-01-25,BOM,LHR,Emirates,Premium Economy,67434.4,8500.34,75934.73999999999,6229,Business,2,1
BK00000181,CUST000013,2022-11-06,2022-11-12,DEL,NRT,Vistara,Premium Economy,40243.27,2132.81,42376.079999999994,4820,Leisure,6,0
BK00000182,CUST000013,2022-10-27,2023-02-12,DXB,DEL,Vistara,Economy,27597.56,3937.32,31534.88,2674,Family Visit,108,0
BK00000183,CUST000013,2024-08-23,2024-12-14,DEL,CDG,Vistara,Premium Economy,42169.71,1911.69,44081.4,3726,Business,113,1
BK00000184,CUST000013,2022-01-01,2022-04-26,CCU,BKK,Emirates,Business,120670.86,1757.1,122427.96,13571,Business,149,0
BK00000185,CUST000013,2024-05-16,2024-07-31,DEL,SIN,Emirates,Business,169808.91,23749.62,193558.53,17912,Business,76,1
BK00000186,CUST000013,2023-12-04,2024-04-08,SYD,SIN,Lufthansa,Premium Economy,70406.99,5847.96,76254.95000000001,6181,Leisure,126,1
BK00000187,CUST000013,2024-02-05,2024-07-31,CCU,BKK,SingaporeAir,Economy,26539.95,195.77,26735.72,2320,Leisure,177,1
BK00000188,CUST000013,2024-05-28,2024-08-28,DEL,JFK,Lufthansa,Economy,8161.44,786.42,8947.859999999999,836,Leisure,92,1
BK00000189,CUST000013,2023-03-19,2023-05-11,DXB,BOM,IndiGo,Business,161275.4,14604.4,175879.8,15992,Family Visit,53,1
BK00000190,CUST000013,2023-12-14,2024-04-09,DXB,BLR,Emirates,Economy,23138.12,462.89,23601.01,2073,Leisure,117,1
BK00000191,CUST000013,2022-10-24,2023-01-18,SIN,BLR,Etihad,Premium Economy,44470.28,6223.96,50694.24,3841,Family Visit,86,1
BK00000192,CUST000013,2022-02-17,2022-04-06,BOM,DEL,Lufthansa,Economy,23531.25,887.23,24418.48,2815,Leisure,48,1
BK00000193,CUST000013,2022-07-23,2022-12-25,LHR,DXB,IndiGo,Economy,33961.24,2519.81,36481.049999999996,2812,Business,155,0
BK00000194,CUST000013,2024-05-26,2024-09-16,HYD,DXB,AirIndia,Business,116031.96,4677.17,120709.13,10870,Medical,113,1
