customer_id,loyalty_tier,tier_numeric,home_airport,age,gender,preferred_cabin,enrolment_date,membership_months,loyalty_points,last_flight_date,recency_days,frequency,monetary_total_inr,avg_fare_inr,avg_ancillary_inr,cabin_upgrade_ratio,route_diversity,avg_booking_lead_days,business_travel_ratio,on_time_experience_pct,avg_nps,avg_satisfaction,recommendation_rate,feedback_count,value_score,loyalty_score,engagement_score,r_score,f_score,m_score,rfm_score
CUST000057,Bronze,1,JNB,55.0,Other,Economy,2020-10-29,50.1,2470,2024-10-16,77,3,63751.41,21250.47,1161.18,0.0,3,72.3,0.6667,33.33,,,,0,0.0009,0.2016,,3,1,1,5
CUST000058,Bronze,1,JNB,22.0,Other,Premium Economy,2021-12-21,36.4,3441,2024-12-06,26,11,343010.29,31182.75,1989.68,0.0909,10,109.5,0.1818,90.91,5.5,3.4,0.0,4,0.0558,0.1315,0.43,4,3,2,9
CUST000059,Platinum,4,SYD,45.0,M,Business,2021-07-23,41.3,196863,2024-12-19,13,64,13192085.83,206126.34,14608.44,0.8125,30,97.4,0.2969,82.81,8.25,4.28,0.9,20,0.803,0.7673,0.842,5,5,5,15
CUST000060,Gold,3,AUH,35.0,F,Premium Economy,2022-02-12,34.6,68790,2024-11-11,51,23,3471338.08,150927.74,8124.75,0.5652,17,102.9,0.1304,78.26,8.0,4.1,0.75,4,0.2326,0.4433,0.7788,3,4,5,12
CUST000061,Gold,3,SIN,49.0,M,Economy,2022-06-15,30.6,64069,2024-10-10,83,23,3699729.04,160857.78,11549.68,0.5652,19,77.3,0.4348,95.65,7.67,4.06,0.8889,9,0.2406,0.4161,0.7968,2,4,5,11
CUST000062,Silver,2,JFK,33.0,Other,Premium Economy,2021-04-01,45.0,20600,2024-10-30,63,20,1390516.24,69525.81,5167.7,0.3,17,76.2,0.4,75.0,6.0,3.66,0.4,5,0.143,0.3161,0.5727,3,4,4,11
CUST000063,Bronze,1,AUH,32.0,F,Economy,2021-01-09,47.7,4764,2024-11-15,47,6,168728.92,28121.49,1799.03,0.0,6,81.3,0.3333,83.33,,,,0,0.0215,0.1922,,3,1,1,5
CUST000064,Bronze,1,LAX,39.0,F,Economy,2022-12-03,25.0,2059,2024-11-03,59,5,153425.56,30685.11,2662.53,0.0,5,62.8,0.6,80.0,7.0,2.8,0.0,1,0.0153,0.0701,0.4375,3,1,1,5
CUST000065,Bronze,1,ORD,30.0,M,Economy,2023-06-10,18.8,4829,2024-12-22,10,9,191589.47,21287.72,1521.19,0.0,6,102.6,0.3333,77.78,5.67,3.27,0.0,3,0.0392,0.0415,0.4254,5,2,1,8
CUST000066,Bronze,1,NRT,37.0,M,Economy,2020-02-03,58.9,372,2024-08-01,153,7,468062.77,66866.11,5458.47,0.2857,7,102.7,0.2857,100.0,9.0,4.5,1.0,1,0.0376,0.2448,0.9163,2,2,3,7
CUST000067,Bronze,1,ICN,73.0,M,Business,2023-09-18,15.5,3921,2024-10-26,67,6,358311.7,59718.62,3844.77,0.1667,6,111.8,0.0,66.67,,,,0,0.0281,0.023,,3,1,2,6
CUST000068,Silver,2,BKK,70.0,M,Economy,2020-11-05,49.9,6756,2024-02-04,332,9,845517.15,93946.35,4169.91,0.3333,8,54.1,0.3333,88.89,7.0,4.25,0.5,2,0.062,0.323,0.6894,1,2,3,6
CUST000069,Silver,2,NBO,53.0,F,Business,2021-07-09,41.8,22123,2024-10-07,86,16,1051318.7,65707.42,4865.98,0.25,14,95.5,0.375,81.25,7.2,3.74,0.6,5,0.1087,0.3014,0.6777,2,4,4,10
CUST000070,Silver,2,BOM,54.0,Other,Economy,2022-07-09,29.8,11808,2024-07-23,162,16,987270.4,61704.4,5045.75,0.25,15,85.7,0.125,87.5,7.2,3.48,0.6,5,0.1064,0.2249,0.655,1,4,4,9
CUST000071,Bronze,1,CCU,53.0,M,Economy,2023-10-27,14.2,3690,2024-10-14,79,10,571079.01,57107.9,4642.7,0.1,8,107.5,0.4,100.0,6.0,3.15,0.0,2,0.0581,0.0159,0.4281,3,3,3,9
CUST000072,Gold,3,AUH,22.0,Other,Business,2020-12-12,48.7,52861,2024-10-21,72,18,1387506.23,77083.68,5787.74,0.3889,13,96.6,0.2778,83.33,6.12,3.52,0.5,8,0.1317,0.4955,0.5903,3,4,4,11
CUST000073,Gold,3,CCU,22.0,M,Business,2023-04-22,20.4,43914,2024-09-15,108,32,4927906.84,153997.09,9657.61,0.5312,24,98.6,0.2812,81.25,7.62,4.15,0.75,8,0.3342,0.3357,0.7679,2,5,5,12
CUST000074,Silver,2,NRT,35.0,Other,Economy,2022-03-12,33.7,24596,2024-09-17,106,15,1097960.96,73197.4,3970.72,0.2667,11,103.5,0.3333,93.33,7.6,3.88,0.6,5,0.1047,0.2625,0.706,2,3,4,9
CUST000075,Platinum,4,ICN,61.0,Other,Business,2023-01-08,23.8,275044,2024-12-19,13,73,15675643.37,214734.84,16202.07,0.7945,32,96.5,0.2055,90.41,7.69,4.01,0.8077,26,0.9405,0.7811,0.7729,5,5,5,15
CUST000076,Silver,2,JFK,29.0,Other,Economy,2021-09-17,39.5,7989,2024-11-30,32,21,806404.59,38400.22,2106.76,0.0952,18,85.9,0.381,61.9,5.4,3.22,0.4,5,0.1283,0.2704,0.5102,4,4,3,11
CUST000077,Bronze,1,ORD,39.0,F,Economy,2023-07-05,17.9,3280,2024-10-30,63,8,153621.91,19202.74,1304.5,0.0,7,81.0,0.5,100.0,6.67,3.4,0.0,3,0.0322,0.0347,0.4768,3,2,1,6
CUST000078,Silver,2,DEL,73.0,Other,Economy,2022-12-13,24.6,20138,2024-12-17,15,11,507438.89,46130.81,3079.5,0.1818,10,83.5,0.0,90.91,7.0,3.74,0.6,5,0.0615,0.209,0.6697,5,3,3,11
CUST000079,Bronze,1,DXB,66.0,M,Economy,2021-04-14,44.6,1073,2024-12-31,1,8,480041.97,60005.25,5157.25,0.25,7,66.5,0.5,62.5,5.33,2.5,0.0,3,0.0436,0.1711,0.3445,5,2,3,10
CUST000080,Bronze,1,CCU,69.0,M,Economy,2022-09-28,27.1,112,2024-12-28,4,3,221630.79,73876.93,2329.67,0.3333,3,117.0,0.3333,100.0,8.5,3.9,1.0,2,0.0065,0.0784,0.8438,5,1,2,8
CUST000081,Silver,2,FRA,49.0,Other,Economy,2022-08-20,28.4,18614,2024-10-17,76,17,1031287.28,60663.96,5523.13,0.2353,12,89.8,0.2353,82.35,7.2,3.74,0.6,5,0.1136,0.2268,0.6777,3,4,4,11
CUST000082,Gold,3,MAA,56.0,Other,Business,2021-02-26,46.2,47274,2024-12-09,23,34,3831555.32,112692.8,7754.25,0.4412,23,93.2,0.2353,79.41,6.57,3.53,0.5714,7,0.3072,0.4749,0.627,4,5,5,14
CUST000083,Platinum,4,ICN,71.0,Other,Business,2021-04-15,44.6,216185,2024-11-22,40,63,12338070.14,195842.38,11479.32,0.8095,31,88.0,0.3016,84.13,8.0,4.09,0.8571,21,0.7676,0.8105,0.8047,4,5,5,14
CUST000084,Platinum,4,DXB,47.0,F,Business,2021-09-12,39.7,136226,2024-12-21,11,55,11509113.34,209256.61,15985.36,0.9273,29,93.7,0.4,80.0,8.19,4.41,1.0,16,0.6936,0.6773,0.876,5,5,5,15
CUST000085,Platinum,4,JNB,42.0,Other,First,2020-09-10,51.7,206672,2024-12-17,15,32,6290777.22,196586.79,13603.95,0.7188,21,88.0,0.3125,81.25,7.92,4.02,0.8333,12,0.3818,0.8347,0.7894,5,5,5,15
CUST000086,Silver,2,DEL,51.0,F,Premium Economy,2022-07-08,29.8,10058,2024-08-17,137,11,552296.04,50208.73,3139.68,0.2727,10,109.7,0.1818,63.64,6.6,3.32,0.6,5,0.0631,0.2226,0.617,2,3,3,8
CUST000087,Bronze,1,NRT,72.0,F,Economy,2020-07-16,53.5,2594,2024-11-01,61,7,173915.38,24845.05,1630.2,0.0,7,94.3,0.1429,85.71,4.5,2.5,0.0,2,0.0273,0.2196,0.3113,3,2,1,6
CUST000088,Bronze,1,BLR,32.0,Other,Premium Economy,2020-02-10,58.7,806,2024-10-07,86,6,172347.24,28724.54,3094.07,0.0,5,94.5,0.5,66.67,5.33,2.6,0.0,3,0.0216,0.2443,0.3532,2,1,1,4
CUST000089,Bronze,1,FRA,68.0,M,Economy,2021-09-10,39.7,3528,2024-09-18,105,5,269457.13,53891.43,3512.1,0.2,5,114.8,0.6,100.0,7.0,2.6,0.0,2,0.0194,0.1488,0.42,2,1,2,5
CUST000090,Gold,3,NBO,29.0,M,Business,2022-09-13,27.6,63217,2024-12-15,17,36,3656793.92,101577.61,8064.26,0.4167,26,96.2,0.4167,77.78,6.8,4.2,0.7,10,0.3123,0.3993,0.727,4,5,5,14
CUST000091,Gold,3,LAX,60.0,M,Economy,2022-01-24,35.2,29840,2024-11-21,41,21,2275916.74,108376.99,8823.98,0.3333,14,80.5,0.381,85.71,5.75,3.35,0.5,4,0.1796,0.394,0.5606,4,4,4,12
CUST000092,Platinum,4,DXB,47.0,F,Business,2020-10-17,50.5,174972,2024-12-30,2,58,9464385.62,163179.06,10704.71,0.7414,31,85.5,0.1897,81.03,7.75,4.1,0.875,16,0.6391,0.7858,0.8,5,5,5,15
CUST000093,Bronze,1,BKK,19.0,Other,Economy,2021-03-20,45.4,4636,2024-10-22,71,4,293327.65,73331.91,5821.54,0.25,4,53.0,0.75,50.0,,,,0,0.0146,0.18,,3,1,2,6
CUST000094,Silver,2,AUH,69.0,F,Economy,2020-06-25,54.2,9481,2024-08-18,136,20,1100109.84,55005.49,3743.6,0.2,16,100.3,0.25,90.0,7.0,3.97,1.0,3,0.1329,0.3491,0.7899,2,4,4,10
CUST000095,Bronze,1,MAA,55.0,F,Economy,2023-01-07,23.8,2417,2024-11-06,56,10,509104.84,50910.48,2068.99,0.2,8,91.6,0.4,70.0,5.33,2.57,0.3333,3,0.0559,0.0643,0.4339,3,3,3,9
CUST000096,Gold,3,LHR,51.0,Other,Premium Economy,2022-02-07,34.8,44342,2024-09-06,117,20,2200044.42,110002.22,8812.77,0.4,17,87.8,0.05,75.0,6.57,3.26,0.4286,7,0.1713,0.4115,0.5677,2,4,4,10
CUST000097,Platinum,4,BKK,66.0,M,Business,2021-10-15,38.6,282272,2024-12-18,14,74,13265121.33,179258.4,12023.76,0.7838,33,92.2,0.3514,83.78,7.78,3.95,0.7778,18,0.8619,0.8681,0.7638,5,5,5,15
CUST000098,Silver,2,LHR,41.0,Other,Premium Economy,2021-05-11,43.7,8550,2024-10-13,80,20,1414583.85,70729.19,4757.63,0.3,15,77.5,0.2,75.0,5.71,3.59,0.4286,7,0.1439,0.2931,0.5622,3,4,4,11
CUST000099,Bronze,1,JNB,57.0,M,Economy,2023-05-08,19.8,3803,2024-03-02,305,11,365938.35,33267.12,2316.45,0.0,10,57.4,0.1818,90.91,6.67,3.23,0.3333,3,0.0566,0.0453,0.5453,1,3,2,6
CUST000100,Bronze,1,HYD,49.0,M,Business,2021-12-03,37.0,4403,2024-12-12,20,5,122940.22,24588.04,1119.71,0.0,5,134.8,0.0,60.0,6.0,2.4,0.0,1,0.0143,0.1359,0.3625,4,1,1,6
CUST000101,Gold,3,MAA,44.0,Other,Business,2022-06-08,30.8,65347,2024-12-25,7,27,3977196.58,147303.58,10359.75,0.6296,17,82.1,0.4444,88.89,7.83,4.05,0.8333,6,0.2728,0.4188,0.7884,5,5,5,15
CUST000102,Bronze,1,SIN,46.0,M,Economy,2023-08-30,16.1,3009,2024-04-27,249,3,62519.72,20839.91,1129.47,0.0,3,138.0,0.0,100.0,5.0,3.05,0.0,2,0.0009,0.0249,0.3794,1,1,1,3
CUST000103,Silver,2,DXB,23.0,Other,First,2022-02-17,34.5,5699,2024-09-11,112,16,941333.5,58833.34,4922.06,0.1875,13,67.2,0.5,100.0,7.5,3.5,1.0,2,0.1048,0.2412,0.7688,2,4,3,9
CUST000104,Silver,2,DXB,22.0,Other,Economy,2020-08-29,52.1,15766,2024-12-04,28,15,830960.96,55397.4,2834.58,0.2,13,108.0,0.4667,80.0,6.33,3.47,0.5,6,0.0953,0.3466,0.5943,4,3,3,10
CUST000105,Bronze,1,CCU,52.0,F,Economy,2022-09-01,28.0,211,2024-09-03,120,6,188564.58,31427.43,2776.0,0.0,6,38.7,0.6667,100.0,5.67,3.4,0.0,3,0.0222,0.0833,0.4368,2,1,1,4
CUST000106,Silver,2,JFK,21.0,M,Economy,2021-12-21,36.4,20605,2024-11-07,55,9,490253.82,54472.65,4714.98,0.3333,9,120.3,0.3333,77.78,,,,0,0.0496,0.2712,,3,2,3,8
CUST000107,Silver,2,BOM,32.0,Other,First,2023-10-30,14.1,14883,2024-04-16,260,9,304306.43,33811.83,2365.43,0.0,7,72.0,0.1111,100.0,5.0,2.8,0.0,1,0.0431,0.1471,0.3575,1,2,2,5
CUST000108,Silver,2,ORD,61.0,M,Economy,2020-08-04,52.9,7408,2024-09-22,101,14,897058.15,64075.58,3293.76,0.2857,11,114.6,0.3571,85.71,6.5,3.45,0.3333,6,0.092,0.3396,0.5577,2,3,3,8
CUST000109,Silver,2,NRT,58.0,Other,Premium Economy,2021-06-16,42.5,24575,2024-12-19,13,16,990241.79,61890.11,5498.09,0.1875,15,86.9,0.1875,81.25,5.5,3.0,0.5,2,0.1065,0.3084,0.52,5,4,4,13
CUST000110,Gold,3,JNB,72.0,Other,Premium Economy,2022-09-21,27.4,53185,2024-12-05,27,36,4138740.53,114965.01,7619.14,0.5,24,81.9,0.1944,69.44,7.11,3.83,0.5556,9,0.3292,0.3847,0.6709,4,5,5,14
